point_id,traj,lon,lat,year,ndvi_median,n_images_that_year
c3_028,3,-89.976421,21.165858,1999.0,0.7131513953208923,62
c3_036,3,-89.95189666748047,21.162894,1999.0,0.5203951001167297,62
c3_021,3,-90.007141,21.131635665893555,1999.0,0.6857858896255493,62
c3_035,3,-90.000943,21.144569396972656,1999.0,0.7138353586196899,62
c3_037,3,-89.97183990478516,21.162086486816406,1999.0,0.731182336807251,62
c3_039,3,-89.976691,21.168283462524414,1999.0,0.6324240565299988,62
c3_041,3,-89.973996,21.137563705444336,1999.0,0.6696997880935669,62
c3_034,3,-90.041364,21.1402587890625,1999.0,0.6002252697944641,62
c3_047,3,-90.028698,21.126246,1999.0,0.7635107636451721,62
c3_048,3,-90.030315,21.124359130859375,1999.0,0.6932802200317383,62
c3_011,3,-90.035974,21.099299,1999.0,0.6947907209396362,62
c3_001,3,-90.080437,21.100377,1999.0,0.6600011587142944,62
c3_006,3,-89.94677734375,21.202237,1999.0,0.7998441457748413,62
c3_019,3,-89.958367,21.172056198120117,1999.0,0.8042441010475159,62
c3_031,3,-90.00740814208984,21.113042,1999.0,0.7716606259346008,62
c3_010,3,-90.01252746582031,21.114659,1999.0,0.7380751967430115,62
c3_012,3,-90.00768280029297,21.114389419555664,1999.0,0.7176602482795715,62
c3_016,3,-90.045675,21.097951889038086,1999.0,0.6424852609634399,62
c3_043,3,-89.967259,21.189841,1999.0,0.8127813339233398,62
c3_044,3,-90.046214,21.097413,1999.0,0.6903511881828308,62
c3_049,3,-90.016033,21.116006,1999.0,0.7434694766998291,62
c4_001,4,-90.002021,21.168822,1999.0,0.2074897736310959,62
c4_002,4,-90.013878,21.166397094726562,1999.0,0.16138850152492523,62
c4_003,4,-90.040286,21.149421,1999.0,0.26032495498657227,62
c4_004,4,-89.94139099121094,21.181487,1999.0,0.17582161724567413,62
c4_005,4,-89.967529,21.183643341064453,1999.0,0.2885991930961609,62
c4_006,4,-89.943277,21.200620651245117,1999.0,0.1476711481809616,62
c4_007,4,-89.968068,21.171248,1999.0,0.24778053164482117,62
c4_008,4,-90.035705,21.15346336364746,1999.0,0.3540498614311218,62
c4_009,4,-89.967798,21.179332,1999.0,0.12225600332021713,62
c4_010,4,-89.949205,21.194961,1999.0,0.12237568199634552,62
c4_011,4,-89.943007,21.202506,1999.0,0.1704595535993576,62
c4_012,4,-89.945163,21.199811,1999.0,-0.024089975282549858,62
c4_013,4,-89.972379,21.174481,1999.0,0.1326812505722046,62
c4_014,4,-90.041633,21.148612,1999.0,0.16182826459407806,62
c4_015,4,-89.960792,21.190380096435547,1999.0,-0.009966838173568249,62
c4_016,4,-89.958098,21.184452056884766,1999.0,0.10508125275373459,62
c4_017,4,-90.074239,21.133790969848633,1999.0,0.33147260546684265,62
c4_018,4,-89.950822,21.1922664642334,1999.0,-0.039364222437143326,62
c4_019,4,-89.996901,21.149959564208984,1999.0,0.48707661032676697,62
c4_020,4,-89.960523,21.186338424682617,1999.0,-0.004730915185064077,62
c4_021,4,-89.9465103149414,21.185529708862305,1999.0,0.08633976429700851,62
c4_022,4,-89.957828,21.185529708862305,1999.0,0.19362330436706543,62
c4_023,4,-90.035705,21.144301,1999.0,0.48172375559806824,62
c4_024,4,-90.022501,21.156966,1999.0,0.13473831117153168,62
c4_025,4,-89.981002,21.165319,1999.0,0.2363985776901245,62
c4_026,4,-90.027621,21.162355422973633,1999.0,0.08854969590902328,62
c4_027,4,-89.949475,21.19415283203125,1999.0,-0.28113695979118347,62
c4_028,4,-89.940852,21.201428,1999.0,0.17628920078277588,62
c4_029,4,-89.961601,21.190919,1999.0,0.20901264250278473,62
c4_030,4,-90.041364,21.151576,1999.0,0.6030306220054626,62
c4_031,4,-90.062382,21.153732299804688,1999.0,0.15253141522407532,62
c4_032,4,-89.944085,21.193883,1999.0,0.06068448722362518,62
c4_033,4,-89.981811,21.164511,1999.0,0.3891129493713379,62
c4_034,4,-89.940313,21.199811,1999.0,0.03803665190935135,62
c4_035,4,-90.072622,21.132714,1999.0,0.37117400765419006,62
c4_036,4,-89.942738,21.183643341064453,1999.0,0.1641695648431778,62
c4_037,4,-89.9742660522461,21.173673,1999.0,0.3873285949230194,62
c4_038,4,-89.966451,21.182565,1999.0,0.1668400913476944,62
c4_039,4,-90.014147,21.163972,1999.0,-0.034927841275930405,62
c4_040,4,-89.944355,21.201428,1999.0,0.17367954552173615,62
c4_041,4,-90.011183,21.148881912231445,1999.0,0.5609256029129028,62
c4_042,4,-90.071814,21.131635665893555,1999.0,0.34892502427101135,62
c4_043,4,-90.11438751220703,21.11061668395996,1999.0,0.5680396556854248,62
c4_044,4,-89.956481,21.189302444458008,1999.0,0.3129426836967468,62
c4_045,4,-90.036513,21.153732299804688,1999.0,0.30608758330345154,62
c4_046,4,-89.98235321044922,21.169092178344727,1999.0,0.35582491755485535,62
c4_047,4,-89.992859,21.172864,1999.0,0.16459397971630096,62
c4_048,4,-89.948127,21.191457748413086,1999.0,0.1822320967912674,62
c4_049,4,-90.1195068359375,21.108461380004883,1999.0,0.46222516894340515,62
c4_050,4,-90.094718,21.12301254272461,1999.0,0.3139707148075104,62
c5_045,5,-90.018998,21.166128158569336,1999.0,0.2387118637561798,62
c5_008,5,-90.034357,21.155618,1999.0,0.28820446133613586,62
c5_010,5,-89.957289,21.163703,1999.0,0.24568836390972137,62
c5_011,5,-90.004985,21.156696319580078,1999.0,0.23596486449241638,62
c5_012,5,-90.066424,21.154809951782227,1999.0,0.15424521267414093,62
c5_014,5,-90.006871,21.155887603759766,1999.0,0.16861088573932648,62
